Run #28	Run #28	Run #28	Run #28
Date and Time	Time (s)	Acceleration (m/s²)	Acceleration (m/s²)
10/07/2025 03:09:34 pm	1.644	0.05	0.24
10/07/2025 03:09:34 pm	1.648	0.10	0.14
10/07/2025 03:09:34 pm	1.652	0.10	0.14
10/07/2025 03:09:34 pm	1.656	0.10	0.05
10/07/2025 03:09:34 pm	1.660	0.00	0.05
10/07/2025 03:09:34 pm	1.664	0.14	0.05
10/07/2025 03:09:34 pm	1.668	0.00	0.14
10/07/2025 03:09:34 pm	1.672	0.05	0.10
10/07/2025 03:09:34 pm	1.676	0.00	0.10
10/07/2025 03:09:34 pm	1.680	0.10	0.14
10/07/2025 03:09:34 pm	1.684	0.14	0.00
10/07/2025 03:09:34 pm	1.688	0.10	0.10
10/07/2025 03:09:34 pm	1.692	0.10	0.10
10/07/2025 03:09:34 pm	1.696	0.00	0.19
10/07/2025 03:09:34 pm	1.700	0.10	0.10
10/07/2025 03:09:34 pm	1.704	0.00	0.14
10/07/2025 03:09:34 pm	1.708	0.10	0.10
10/07/2025 03:09:34 pm	1.712	0.05	0.05
10/07/2025 03:09:34 pm	1.716	0.05	0.14
10/07/2025 03:09:34 pm	1.720	0.05	0.14
10/07/2025 03:09:34 pm	1.724	0.10	0.10
10/07/2025 03:09:34 pm	1.728	0.10	0.14
10/07/2025 03:09:34 pm	1.732	0.05	0.14
10/07/2025 03:09:34 pm	1.736	0.05	0.14
10/07/2025 03:09:34 pm	1.740	0.14	0.19
10/07/2025 03:09:34 pm	1.744	0.10	0.14
10/07/2025 03:09:34 pm	1.748	0.10	0.14
10/07/2025 03:09:34 pm	1.752	0.10	0.10
10/07/2025 03:09:34 pm	1.756	0.10	0.05
10/07/2025 03:09:34 pm	1.760	0.10	0.14
10/07/2025 03:09:34 pm	1.764	0.10	0.10
10/07/2025 03:09:34 pm	1.768	0.10	0.19
10/07/2025 03:09:34 pm	1.772	0.10	0.10
10/07/2025 03:09:34 pm	1.776	0.19	0.14
10/07/2025 03:09:34 pm	1.780	0.00	0.10
10/07/2025 03:09:34 pm	1.784	0.10	0.14
10/07/2025 03:09:34 pm	1.788	0.10	0.19
10/07/2025 03:09:34 pm	1.792	0.10	0.00
10/07/2025 03:09:34 pm	1.796	0.19	0.14
10/07/2025 03:09:34 pm	1.800	0.05	0.05
10/07/2025 03:09:34 pm	1.804	0.00	0.19
10/07/2025 03:09:34 pm	1.808	0.00	0.05
10/07/2025 03:09:34 pm	1.812	0.00	0.14
10/07/2025 03:09:34 pm	1.816	0.10	0.14
10/07/2025 03:09:34 pm	1.820	0.05	0.14
10/07/2025 03:09:34 pm	1.824	0.05	0.19
10/07/2025 03:09:34 pm	1.828	0.10	0.14
10/07/2025 03:09:34 pm	1.832	0.00	0.14
10/07/2025 03:09:34 pm	1.836	0.05	0.05
10/07/2025 03:09:34 pm	1.840	0.10	0.14
10/07/2025 03:09:34 pm	1.844	0.10	0.14
10/07/2025 03:09:34 pm	1.848	0.10	0.14
10/07/2025 03:09:34 pm	1.852	0.05	0.14
10/07/2025 03:09:34 pm	1.856	0.10	0.14
10/07/2025 03:09:34 pm	1.860	0.10	0.05
10/07/2025 03:09:34 pm	1.864	0.14	0.14
10/07/2025 03:09:34 pm	1.868	0.00	0.05
10/07/2025 03:09:34 pm	1.872	0.00	0.19
10/07/2025 03:09:34 pm	1.876	0.10	0.19
10/07/2025 03:09:34 pm	1.880	0.00	0.14
10/07/2025 03:09:34 pm	1.884	0.10	0.24
10/07/2025 03:09:34 pm	1.888	0.14	0.14
10/07/2025 03:09:34 pm	1.892	0.05	0.10
10/07/2025 03:09:34 pm	1.896	0.10	0.00
10/07/2025 03:09:34 pm	1.900	0.00	0.14
10/07/2025 03:09:34 pm	1.904	0.10	0.10
10/07/2025 03:09:34 pm	1.908	0.14	0.14
10/07/2025 03:09:34 pm	1.912	0.05	0.19
10/07/2025 03:09:34 pm	1.916	0.10	0.14
10/07/2025 03:09:34 pm	1.920	0.10	0.10
10/07/2025 03:09:34 pm	1.924	0.10	0.05
10/07/2025 03:09:34 pm	1.928	0.10	0.14
10/07/2025 03:09:34 pm	1.932	0.10	0.10
10/07/2025 03:09:34 pm	1.936	-0.05	0.24
10/07/2025 03:09:34 pm	1.940	0.10	0.19
10/07/2025 03:09:34 pm	1.944	0.10	0.14
